Wallet,Fate_Rewards
0x0027be93454f18e04e26ee19c22b9dad5b2f58e5,249590.259438710616014471
0x0089d65b21ee0d8915da224b2c17132502184b97,75.165841329474129992
0x01827a0283b2133d17e280fbdad0bada36255b95,474779.213736471412447543
0x01dc7dd1f008008e928a51f221bbdb3825f9491b,984923.614823016115845859
0x02fa5eb5067c0d4a74e83f395af7ab6db7999208,725426.052666053267178525
0x04b70e9ef8b53b13455f42186c428e9fb0853ba1,1069077.700482514908091525
0x052fbc4e44764f6af0b4088b21b51b21dee62b87,17878.921781470810693593
0x0580cb524a9a56307326049014c577e3bc84c541,26445.671104601680169995
0x058476edacb23e9507cff379e7dd8cf4dee4d2db,994702.540877305766151169
0x05eee03f9a3fa10aac2921451421a9f4e37eabbc,90354567.983966106643865301
0x0655d9a7c0b6e83dab59b04409971781dfe6b691,254964.019606563340450085
0x09413652adca795c37c906fe4fd090d4a8dddbe6,58364.184058444140345413
0x0a127c3976b5dfbe8fbbb24c236318fd248486cb,9631779.033758371871936371
0x0b3804716a80539306cf5f9b4d1442f8f8b8ab92,14851.960016975423277576
0x0c2f25ef33baf2a7fe896cff0fec6f8256ee65c7,42878.041901580066808111
0x0c4fcee37b1cbcca6b794ae3322735d6f41b74ad,4118.423218791830242453
0x0ce3b2b720b19702e51947eeaee24250da1a180d,73.871302143091876488
0x0d05d736db2b9923cdf3fe967ea8b4e17da94c5e,2561.400791809491125191
0x0d7a90bc336ca443a89391503f327d5b78b5485d,913272.145307315216845839
0x0dccb9984b8531049706ce5a6d837df3ad35ff4a,153676.134111767924536996
0x10ac1802f11616f141bf1459a9564c0307acedf2,5060.648319672287925237
0x12794558699d8b489e2a81769234683056f3790c,46251813.073361113209283821
0x146217e07978475d9863f014c6e2d537e06dfa9d,4082.403421900957762072
0x153f34e43ea3e86f412eb5232a6d65d5f1b4b905,11.718214896734489375
0x15f34324ff4ec68ae359d03c4d43d52dbd0dbb31,1570761.80669241336614802
0x169162cf7f4332f7f4fcf4411269f80a82b7f55b,9542.302949522815642787
0x1849fc71313329c173c7547871e69faed0077fca,56898.787920096618539176
0x1ce5379698a1bcb5df225126f3599330db5255f9,7851.707059997784292622
0x1e7e5bdcef55ec658f2a29a9bcbc69cabaf1606a,188405.583328492987197047
0x21ef9e80e000122d120357eb430190e541ef60d4,25834.174736793623552543
0x22668bc75dec80ce8ca07d1dd58eb796a3a5f72d,145925.1840126925663161
0x2402d9a9435df4d27eb6e8b226e5fcf8765d3e2a,538.599199841016757289
0x25d53e1fe43e686cc669fb4e992891e63588434c,137588.279624878737490882
0x26183c45a99bdbaa102cc55e359a72d5b17c9dcd,1030027.43819648035294333
0x27bd3c8945eadcae11c662aa939bd72fa757c958,51918.311143517048404028
0x27fae2cf9ed3754182923460988abc89a65a7bde,353780.898605049269610084
0x29bab6487c428b7168cc68a8607cb709f25ee5fc,2238474.703703967052409389
0x29fed47572890b4561cc02ae3949e4f673a6f160,64392.043974019615148307
0x2bee316f0c5fd28c81a269e55e54f0fa5457b9ee,4654.460697064846081879
0x2d63b60b2512dff3e3681539cc56eb99e5c96d43,10082.681720345617546051
0x30194f526c6b08f8e33af1753b04322b0450c6c0,6115.794690425556801099
0x31881a03519c0fc57f4ba6766ca2bffe1f584ee3,21655071.584496845087830574
0x3336ded7a8d07e2622e27ca2364c427af4ff3911,152302.214845855611522901
0x3353554095389a03c35915e51fdcdddd68caf28c,2086.927514504447272382
0x33ebe25f22e93b4f0bf8d92f495fa45f41e210a4,300348.989176389499964379
0x3562e5fde573f795e7e1d34c8092b95926f093e8,50048.731495776213840998
0x37acc7eca484b68db007e08be9029e9a4792e90a,6259.138366910526928782
0x38b60a9b1e2d96befb2d8400d187276fe1ade9b4,1586.424489776086974869
0x3ba1140ad8269d25ad7777820abc84be2e4e8dd4,3061.985676847306895588
0x3ec4938ab96f8cc28ea32e645ac82f86e77d265d,677984.799479365069622541
0x3fa28980fc0b62cda392863ddf916d1c342a40ae,160961.042939243536485743
0x410e0762850d1653d8fe739b49e318d00666b1a2,17207.50912155312992621
0x4525441f608e57f351efa148525031e14dde27d6,8582.008184019749047439
0x4865ce35c0e0a3ba725be849deba86ec02cd3cca,9224.510746121549853899
0x49846f40c9d6dc8062fbd0919e52c975e815156d,216114.654238951128268341
0x49bb9fd16af3b39ae3c08d75fd690bdae7e4f5ef,2305774.385305822239470628
0x4d4672eb04b176c22574b65a83278b8dc6708ed7,133205.670068958196114456
0x4e8bf2757ad44227fa01b0ee9d11df864b171f57,19525.217475805401251379
0x4ec1cae08c06494ee0130d4d538c1735252d4130,4493467.808294065323493561
0x4eeb0f5aad6349f3c587fba1176ba164b95ea8bf,15444.89721545982229924
0x54b8962b6f5028a57bc11cb68cad87aa8651c548,101331.312593681613511915
0x5589e5e0a3c9dec765c56f942ffe8d663dbfbd4b,806.240240183979775661
0x585869bdd43497df24a8cec2e1d4e115869fe2a3,576315.709028214986443795
0x5896bed3959d4508fee5cdaed6da41e8016d1ebe,725.363140767050912435
0x59734040d997a97cf329f28d7f289286ab444b27,733865.101863732196381255
0x5c976f29f024a506e623db5bd9c26b6a0c9f2619,1385.283308405083468995
0x5da9ba5435f2f3bd8d25abce434caa370cfff2c0,4280.939691715785195275
0x5db0c41cac8a92ccdae933e7dc7b6266415fa17c,71116.489070661982710097
0x5edd60b9c610050c66bac1a2d0572bddf61d7198,25887.788527288466259057
0x60f7244c704184ed3743dffc694c0d922bcc2093,1460.573491843856286565
0x636f69a3279d93c95d13093680fc02b9a2fcf774,31056.050965669041931372
0x638f3811e402f5ce2f15b19a3f5cd4fbb65d0932,34339.580556130931376811
0x64878dab06c60cbe866e959081d2da4c287e9705,147073.873881937301328021
0x64c73ba421277f362882387472e1e884d8999056,65303.875862348523681237
0x64cf2cdbf9cb4381a69d601e61d158dd8631e0fd,23764.326451341985693303
0x6918d86f6532f8030cc0b02e2f385fafe98e9c28,3709.927406201006282652
0x693bfeeff05a9e7f38476cfcce473ae436e0e851,1621476.11250505309734017
0x695e12e59c9c3993c7eb8a48710421b12f364135,230305.117252859244758518
0x6a099ded0eaf0b22dde687d83cb19af0c6eea084,1031878.141289553125480804
0x707acec1f566eb3bf16fb0468e6e2e9a881813a3,71313.040311943470357083
0x70801880e4b7b36d6e4797dac8a5b8f5da471962,154752.506933521654146633
0x71a9418220bea6e96f19713975527cc27cc1375d,41090.44191880147778116
0x7719bff1fe196b803a16ffb4dc250cb0fe20a313,96252.176860848326816873
0x79d860858361577a4f2a33d83aac2299b6d77025,926907.407707844819292893
0x7a0373a8789562dd3923d3c212e249e5e88723cf,39775.856553139478485265
0x7a120d3150530a1cb538711ef04623aa8d90ff4e,4435.161941648096442374
0x7a68f7ce454d8fbc53d5dfb5d61d9a9d3bab0cdd,1798.448020315406885464
0x7a6c7dc05497de639b67cd4ae9c0ac8ae3e03381,342.211139464766338474
0x7ab1186d0fa3b780851a92e791728f5bc0644b7f,648531.20392660029752276
0x7b8b98900d14c8fbf490a0b339ad3f15a1b75ace,36740.802895922113893937
0x7e7257ed884c00385e6caf99e25e9486ec4eaa71,325.211407033355118815
0x7f042f15b9bdd192c4ab3614f4fa0f3886adb1a9,262860.491543626485303967
0x7f6d4d449a366a86bbbc82c0dfe9d776b1115f1e,18840.943630214988972646
0x812be5ff5249e7599d889ba841abb1f280267559,97929.717153453380054013
0x8178c9e76fbc57bee7ec6042d137d3ddba08e786,149444.218503874472072692
0x8254925ce4ce17cf2bd0a666947d606184e45332,853.904839465676835008
0x833a4a119c1195b4ac1c7f1471152de8b65a3ef5,235248.716534728522684655
0x83cf51a12258848540e862d1ab8b2fe05518f716,4560925.465964048987675179
0x850f385b6938c981f1d9375ccd39a570e919c59d,15738.059284710254960988
0x85399768c72b64879e704ebafc5ac52483984b9e,962.659767643537828918
0x85d382c1915cd79e85eda89231f2bdd130c31d0d,1451127.169582267124041214
0x869aa177e5d098de56fcc0fc63d606f51181dd5d,249970.156656314495787608
0x88db7c620a726bf06005f9c602a90fc0228bb02f,0.495793061127557002
0x8a892d3266058554bdcb53cae8e1e2d31da8b796,23935.440275744535498518
0x8bb8fc2ae445630485394929aecf09386cf68389,104425.584857907732648808
0x8bc493dfdf7820facfc68c251b26bd7a888dd39e,11593.171988145867333962
0x8ebb3b44fba4a542592ffc3cf943418a7cffa48e,621873.07717892834337734
0x8fa9f506fad272213c65cb6614020e32f97be5ba,6409.703229715799618504
0x90036c2f2c4cf5958eb0a9a841aaeb734e786516,3384.591436852401325879
0x98f9e694c17aece8e4697389d3c340d6ad823ffc,3232375.145567486591823656
0x992a63544d9d0bd5e9fc3a3ca29f9d7afe2214ac,113060.706546595602456901
0x995904e6f933152b0ee9b212a4f52a9c1539af18,2087.050291904867462698
0x99ef7c8572e3b75a9a9106b4128abafb2f1064c1,85325.264073088678043016
0x9b52ba5d72a4a53c8a6a294eb3494a2c8145fc70,79529.310701625447180598
0x9b771bbbcd79605818a2bd7ca9a5eb3c2f2d5e32,88696.803181346012826817
0x9f0001ffe56911df0de8581af879e9bdacbe65aa,313.642615200508020012
0x9f049fd537cf360a7189a82d628475ea654dc425,445452.904766906907715889
0x9f3b631ea83c13451858cc22348506162451b6d9,941.911319528814852671
0xa1acaddd259649d470b42c95738e5e89c8d8a233,39828.312776782500832049
0xa2a7baac3ef48bb147a2b996b58063f2c8bc5400,47092.989849595920605498
0xa2c2d9340c5f0d0bd3103838479a04e7ab0a0110,279476.201322701317886527
0xa432aa095ebd5df6c97d386a3ab6722b550e27fa,197650.059614422400217592
0xa64c4fb70111438c717d37b00ac6e1f79ef237d1,10506.458442124316470352
0xa71b272556c04106fe9c65166e17df7f2f1faefe,38357.680330635061374018
0xa74b66e7e5bbb2f5b2114cb79add40b260c5c671,575.20225009949240513
0xaa0bd73e75aeef544d80df25790ba307aeea7c08,634776.083152975773779444
0xac3490e67dfaf44c9de4e523539cc73252c34739,1341.535672607405032999
0xaff8be3b36c11f69bea6f1ea2cff240f8d9dade7,33982.869401491258809066
0xb017beec4aaac362880039a659f04f55c7e49d5c,5415.479122287752875737
0xb07594671b8742e381ca079045fcb9e435df7efd,2874.835484227967494618
0xb07cf33480c4d8f44a8722fb29b3c944bd1a08b5,2251030.60483626151704618
0xb2d9d17193986064e1072cca7489da228631e74c,204290.260949003401784831
0xb46d1469289e5c332eb329b3196f18ede3801968,489981.35457436060700494
0xb7b39c1fd098f9c81690a1fc3cb39168569f8ec2,6109.89149614242797541
0xb85c213bab8c3d3b506fceb5761dcee9cbbc6b4d,532685.223915496816876572
0xb88d5496411b41e69ac7e49b013a5da6447acce6,61539.882220087200885749
0xb92765a1421401e999f6227f388606de1be31778,107732.912350529085946926
0xb960e8dd35abaf5f2b7f52d231fb4ae844f1400a,100619.475555556504572565
0xbab477e5c596dea6617a643b40ec7393f4c48ef9,3971.784981724222740352
0xbb70ca954d89779f8afaaab8ae383b281e3b27a4,294894.487015867962991767
0xbc9f7e7f78a43fc1b75a97fe8ce412c8c2ffc968,32514.504687570042300102
0xbe93d14c5defb8f41af8fb092f58e3c71c712b85,1733593.343188708974231367
0xbedb0767c1508737b1252ce32c882dab0add62fc,19992.963865035248257719
0xc167b6c615ccabf9465c8ad1f0b3b5854c555673,6706.030928306495913306
0xc286216e29a68b58c0411b34e7fb5b34e609126a,14659.132270847768544612
0xc347117094eeb48a7b5b69e0674bd9b01ca72bb9,769.144135105835391338
0xc355c2230f42224c1ae0cfeac3d7773a8ea8a268,14628.199264718166596866
0xc4ea203e2eb096c4d949b9a64a5d49c0a8a1d8b3,185625.116999246486463473
0xc8ad9945fae819b3ab11d21e09c6d07dbfe222d4,1369.576354458596591452
0xc97bca4c7aaaa82cd26ba9b9c99efc2f75683f67,5489.064237912088664037
0xca9b1f0750e44c61fb131033975762db06257e41,76868.962592717692122801
0xcaa7c47e4684af466293e10aec58eaf4e7b195b4,72229.116596214112395686
0xcacdade3aaa92582c3161ae5a9fa3bb7e788fdf8,3143217.951451872719776938
0xcace9fa42aa7576a43acde16c9a0c630c82237d9,195027.923568700460603484
0xcc3a0abcad4ae2c2c683eab094c5836b569ca052,172575.639688016018540018
0xcd3b91ac5bcdb9dfc06dfc430b47112fd285e663,69974.826985506395376723
0xcf483d0670f866a262d42936d9ad9cdf7cca2b28,9120.912672168705530609
0xd0bab54ac670c5802e39ef1b4f4003e342f2b2d4,3721.710646220163569234
0xd5fa61d2e93b6d6136cf2e2560225cb24b169232,5146.343492168651150748
0xd6ec4e9ae5a6cfe888326f9db9840c814a8bbd9e,190.223412263417113874
0xd73ad23cc3b7a80e2fad71e81f252e9119c038cb,353980.386543622588744753
0xd8189e32771ab8114f24eb5e3acb5040bb8c7086,13855580.213258279782609077
0xd969387efa70886e75293e4198f08916284d26bb,9344.485604866108099575
0xda98de35166b032bba8809736d8b0b057d25b8f0,61488.847334819411589768
0xdb60ea59d0b7dc388873d6c6ed73557981fc267f,929.627533457107635565
0xde88bb71a14bcc78085fd48e0e1d772cc2dbc7cd,5367.558558096929001464
0xdf1dd1f9bb513795007e5c53e07bf61370cf07e3,49458.183170767034238872
0xdfb0348f0d8200ee2eb50aa4755f690dc3165b52,5953.52760681982279303
0xe0d3b203853fd07904ec42188836b967afdda690,108584.617698870193998108
0xe13ae1dc3d2f673215e1f55c2652f0b36ccb268b,568291.796076237827769531
