Wallet,Fate_Rewards
0x0027be93454f18e04e26ee19c22b9dad5b2f58e5,136028.381206652145498308
0x0089d65b21ee0d8915da224b2c17132502184b97,71.065886347866459992
0x01827a0283b2133d17e280fbdad0bada36255b95,415410.656300237134975416
0x01dc7dd1f008008e928a51f221bbdb3825f9491b,402891.051674276880184729
0x02fa5eb5067c0d4a74e83f395af7ab6db7999208,700521.385061699982437989
0x04b70e9ef8b53b13455f42186c428e9fb0853ba1,514803.601491805988086167
0x052fbc4e44764f6af0b4088b21b51b21dee62b87,3795.334116624576326195
0x0580cb524a9a56307326049014c577e3bc84c541,25003.179953441593169995
0x058476edacb23e9507cff379e7dd8cf4dee4d2db,374630.657794544348417126
0x05eee03f9a3fa10aac2921451421a9f4e37eabbc,3393770.01400210852493666
0x0655d9a7c0b6e83dab59b04409971781dfe6b691,96803.008697553732865801
0x09413652adca795c37c906fe4fd090d4a8dddbe6,55180.683109801740345413
0x0a127c3976b5dfbe8fbbb24c236318fd248486cb,2482755.858064851439128697
0x0b3804716a80539306cf5f9b4d1442f8f8b8ab92,5460.766401364041603969
0x0c2f25ef33baf2a7fe896cff0fec6f8256ee65c7,18052.065435600908074
0x0c4fcee37b1cbcca6b794ae3322735d6f41b74ad,2647.174810452037820314
0x0ce3b2b720b19702e51947eeaee24250da1a180d,0.949694665336383813
0x0d05d736db2b9923cdf3fe967ea8b4e17da94c5e,809.715742467481380843
0x0d7a90bc336ca443a89391503f327d5b78b5485d,229434.736199137864869743
0x0dccb9984b8531049706ce5a6d837df3ad35ff4a,101948.697308878340041052
0x10ac1802f11616f141bf1459a9564c0307acedf2,3679.547042060135575053
0x12794558699d8b489e2a81769234683056f3790c,3877616.265094108226456378
0x146217e07978475d9863f014c6e2d537e06dfa9d,1934.900425458864815076
0x153f34e43ea3e86f412eb5232a6d65d5f1b4b905,10.237388616869580265
0x15f34324ff4ec68ae359d03c4d43d52dbd0dbb31,1287489.136902682821716801
0x169162cf7f4332f7f4fcf4411269f80a82b7f55b,816.343612011539340203
0x1849fc71313329c173c7547871e69faed0077fca,37139.660228670727777888
0x1ce5379698a1bcb5df225126f3599330db5255f9,928.754657135154915481
0x1e7e5bdcef55ec658f2a29a9bcbc69cabaf1606a,162783.7354210005535909
0x21ef9e80e000122d120357eb430190e541ef60d4,19959.82643229229615332
